"Nid","Title","theme camp","Activity Categories","Long Blurb for website / app","Scheduled activities","Short blurb for the WTF Guide","Type","latitude","longitude","Infustructure"
"6659","Bug Out","","","Bluuuuuuuuuuuuuuuuuuuuurrrrrrrrrrrrbug.","","A far out bug, bugging out in the dessert. Music follows him where ever he goes, and with him he brings amazing light shows.","Mutant Vehicles","","",""
"6658","Zebra Car","","","Afrikburn comunity is based on bringing and sharing everything. When reaching the desert where the is absolutely nothing, it reminds us that once, the world was just a piece of sand. History says that Africa is the mother of all the continents, and the Zebra is the simbol of Africa. Let's glorify it!","","The Zebra who will make you remember the nature of Africa, Mother of the continents.","Mutant Vehicles","","",""
"6657","Calamity Jane ","","","NA","","NA","Mutant Vehicles","","",""
"6654","Space cadet","","","not that kind of mutant","","not that kind of mutant","Mutant Vehicles","","",""
"6651","Our Happy Island","","","Look out for our travelling happy space! A mobile island of happiness! Reggae tunes in the background compliments our pull-in and chill atmosphere! Brollies for shade and convenient seats. If you see our basic setup rollin’ through the playa, swing by for a “naughty or nice” surprise from our jars of happiness!","","Our Happy Island! Of all things happy and nice and yummy and spice! Happiness for your ears, for your face, that butt, and taste buds too! ","Mutant Vehicles","","",""
"6650","The Prawn Nigiri","","","Prawn Nigiri:
Ingredients for 1 Mutant Sushi

1 piece of (giant) uncooked prawn.
1 teaspoon dust.
2  (very large) Cups of Seasoned cooked rice.

Best enjoyed in the desert at sunset.","","Prawn Nigiri:
Ingredients for 1 Mutant Sushi

1 piece of (giant) uncooked prawn.
1 teaspoon dust.
2  (very large) Cups of Seasoned cooked rice.

Best enjoyed in the desert at sunset.
","Mutant Vehicles","","",""
"6649","Pooks;)","","","Jump on ...Jump off, fun, safe and comfy ride around The Town for weary walkers ;)","","Jump on Jump off fun safe and comfy ride around The Town for weary walkers ;)","Mutant Vehicles","","",""
"6646","Ngulungundu Ndududu","","","The Ngulungundu Mdududu (Ndebele translation - Wharthog Motorbike) The desert pig gives rides to weary burners, providing liquid relief and shade from the blaze on its trailing loungers! ","","The Ngulungundu Mdududu (Ndebele translation - Wharthog Motorbike) The desert pig gives rides to weary burners, providing liquid relief and shade from the blaze on its trailing loungers! ","Mutant Vehicles","","",""
"6640","The Wasteland Wanderer","","","Steam Punk meets Cyber Gypsy Motorcycle with sidecar.","","Steam Punk meets Cyber Gypsy Motorcycle with sidecar.","Mutant Vehicles","","",""
"6637","STAY PLAYFUL","","","Our MV will be cruising around for your disposal of use to be dropped at our play camp. Giving you a ride and the beginning to an amazing shared experience we hope to contribute from out camp.
","","Our MV will be cruising around for your disposal of use to be dropped at our play camp. Giving you a ride and the beginning to an amazing shared experience we hope to contribute from out camp.
 ","Mutant Vehicles","","",""
"6621","Pipe cars","","","Mutant patrol vehicle","","Patrole","Mutant Vehicles","","",""
"6616","Cloud Bliss","","","The Bliss Cloud is a cloud based couch. The front is adorned with Theatrical Masks to illustrate the theme ""PLAY"". Night time lights highlight the masks on the front as the cloud on the roof emulates a thunder storm to the beat of nearby music.","","Drift along on the Bliss Cloud as you travel the PLAYa, whether you are heading ""home"" or just resting your feet. ","Mutant Vehicles","","",""
"6615","I love lamp","","","I love lamp!","","I love lamp! ","Mutant Vehicles","","",""
"6600","Tonkilled","","","Cruisin the Playa in search of new sights, sounds and souls....you might even we lucky enough to catch a ride....if you don't mind where you are going to","","You might get Tonkilled","Mutant Vehicles","","",""
"6598","Flying Couch","",""," Think we missed the date so N/A

If necessary we can draft something.....","","Think we missed the date so N/A.","Mutant Vehicles","","",""
"6591","Moroccan Free spirit den off inconspicuous reprobates , cruiser home to the genie  ","","","Moroccan Free spirit den off inconspicuous reprobates , cruiser home to the genie  transport to whiches and wizards from camp Free Spirit and their prey","","Moroccan Free spirit den off inconspicuous reprobates , cruiser home to the genie  ","Mutant Vehicles","","",""
"6590","Merc","","","dessert cruiser","","the tropical desert cruiser","Mutant Vehicles","","",""
"6585","Egyptian Light Chariot","","","A Golden Egyptian Chariot, carrying the ancient message, of the language of light.

Follow the scarab and enter the dimension of play, a higher form of being.

Who knows where it might take you... maybe up the scarab vortex, into the sky. It might even bring you the sun.

Join us in the search for the perfect fusion between light and sound!!","","A Golden Egyptian Chariot, carrying the ancient message, of the language of light.
Follow the scarab and enter the dimension of play, a higher form of being.","Mutant Vehicles","","",""
"6584","Red Dusk","","","Red Dusk and the mask rider will be once again saving lost burners to guide the way home home after direction losing  expiriences. they will  ensuring that thirsty burners will be serve with home brewed craft  beer on  the burns and ensure that they are not dehydrating when enjoying the beat areas of the burn","","Red Dusk and the mask rider saves lost burners with directions lifts and craft beers","Mutant Vehicles","","",""
"6579","Horsey Horse","","","A beer Horse may come trotting or walking past you - simply Nay and It will stop to serve you an Ice cold beer from its rear end. This forms part of the Scallywag Saloon where you can also get ice cold beer daily from 5-7pm when the saloon is open ... thats if you can make it through the swing door entrance maze...","","A beer Horse may come trotting or walking past you - simply Nay and It will stop to serve you an Ice cold beer from its rear end :)","Mutant Vehicles","","",""
"6574","Dust skipper","","","Since the first members of our now fairly large crew started going to the burn, we, like many people at the burn have spoken about building  some sort of mutant vehicle.  Of course this normally ends up being words spoken in the binne-kring and not anywhere els. This year together we wanted to change that. We wanted to combine some items which have  been around for many years,. One of our scooters has been passed down generations of kids and is now not road legal. It alone has loads of gees and is frothing to joll in the dust. Another scooter has been turning g heads for quite some time now.. Covered all over in bright green astroturf, it really looks like a living organism wheels. The scooter even won the owner, Calvin, a sponsorship from sanuk footwear, by simple waiting for the lights to change to green. Together these two macheins are the engine to pull our couch which alias also been around for some time.  We aim to give passengers a comfy safe ride around the burn and to share stories of our crazy and we'll travelled crew. Hope to see you out there! ","","Desert skipper is a collaboration by a few mates who have always envied the mutant vehicles at previous burns  together we joined vehicles and furniture, all of which have served us for many years and have many stories to tell if they could. Together we thaught we would like to see these items on the Dusty playground of afrika burn - hopefully for years to come... ","Mutant Vehicles","","",""
"6571","Puffy tha K-Uber","","","Legs not working so lekker,feet full of blusters,water broke ,need to get somewhere asap? Ok no problemo-just keep an eye out for ""Puffy"" the Tankwa K-Uber (Karoo Uber) for ultra comfy lift where ever you're need be-Puff-Puff and away we go!!","","Legs not working so lekker,feet full of blusters,water broke ,need to get somewhere asap? Ok no problemo-just keep an eye out for ""Puffy"" the Tankwa K-Uber (Karoo Uber) for ultra comfy lift where ever you're need be-Puff-Puff and away we go!!","Mutant Vehicles","","",""
